"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"skipped","Mon Apr 04 19:57:03 GMT 2022","Mon Apr 04 19:57:03 GMT 2022","16","Suite","Test","testPackage01.Test_uploadFile","testPackage01.Test_uploadFile","uploadFile_visibleUploadInput","uploadFile_visibleUploadInput",""
"skipped","Mon Apr 04 19:42:01 GMT 2022","Mon Apr 04 19:42:01 GMT 2022","9","Suite","Test","unitTests.tests_validations_assertions","unitTests.tests_validations_assertions","assertElementAttribute_true_containsComparison_expectedToPass","assertElementAttribute_true_containsComparison_expectedToPass",""
"skipped","Mon Apr 04 19:42:01 GMT 2022","Mon Apr 04 19:42:01 GMT 2022","9","Suite","Test","unitTests.tests_validations_assertions","unitTests.tests_validations_assertions","assertElementAttribute_true_literalComparison_expectedToFail","assertElementAttribute_true_literalComparison_expectedToFail",""
"skipped","Mon Apr 04 19:48:02 GMT 2022","Mon Apr 04 19:48:02 GMT 2022","25","Suite","Test","unitTests.tests_browserActions","unitTests.tests_browserActions","navigateToURLWithRedirection","navigateToURLWithRedirection",""
"skipped","Mon Apr 04 19:45:02 GMT 2022","Mon Apr 04 19:45:02 GMT 2022","23","Suite","Test","unitTests.tests_element_elementActions","unitTests.tests_element_elementActions","waitForElementToBePresent_moreThanOneElement_expectedToFail","waitForElementToBePresent_moreThanOneElement_expectedToFail",""
"skipped","Mon Apr 04 19:57:03 GMT 2022","Mon Apr 04 19:57:03 GMT 2022","10","Suite","Test","testPackage01.Test_uploadFile","testPackage01.Test_uploadFile","uploadFile_invisibleUploadInput","uploadFile_invisibleUploadInput",""
"skipped","Mon Apr 04 20:36:08 GMT 2022","Mon Apr 04 20:36:08 GMT 2022","12","Suite","Test","testPackage01.Test_NewValidationHelper","testPackage01.Test_NewValidationHelper","f11","f11",""
"skipped","Mon Apr 04 19:42:00 GMT 2022","Mon Apr 04 19:42:00 GMT 2022","10","Suite","Test","unitTests.tests_validations_assertions","unitTests.tests_validations_assertions","assertElementAttribute_false_regexComparison_expectedToFail","assertElementAttribute_false_regexComparison_expectedToFail",""
"passed","Mon Apr 04 20:03:04 GMT 2022","Mon Apr 04 20:03:04 GMT 2022","18","Suite","Test","testPackage01.Test_SkipDueToIssue","testPackage01.Test_SkipDueToIssue","skip2","skip2",""
"passed","Mon Apr 04 19:38:50 GMT 2022","Mon Apr 04 19:38:53 GMT 2022","2717","Suite","Test","dsl.testDsl","dsl.testDsl","testCheckBox","testCheckBox",""
