"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Apr 04 19:44:56 UTC 2022","Mon Apr 04 19:44:59 UTC 2022","3502","Suite","Test","testPackage01.Test_assertEquals","testPackage01.Test_assertEquals","test_assertElementAttribute","test_assertElementAttribute",""
"passed","Mon Apr 04 19:44:54 UTC 2022","Mon Apr 04 19:44:54 UTC 2022","84","Suite","Test","testPackage01.Test_SkipDueToIssue","testPackage01.Test_SkipDueToIssue","skip","skip",""
"skipped","Mon Apr 04 19:42:42 UTC 2022","Mon Apr 04 19:42:42 UTC 2022","5","Suite","Test","testPackage01.TestJSPromptBox","testPackage01.TestJSPromptBox","assertOnConfirmPromptAlertWithoutTypingTextMessageResultText","assertOnConfirmPromptAlertWithoutTypingTextMessageResultText",""
"passed","Mon Apr 04 19:40:19 UTC 2022","Mon Apr 04 19:40:21 UTC 2022","1134","Suite","Test","unitTests.tests_validations_assertions","unitTests.tests_validations_assertions","assertElementAttribute_true_literalComparison_expectedToFail","assertElementAttribute_true_literalComparison_expectedToFail",""
"passed","Mon Apr 04 19:40:35 UTC 2022","Mon Apr 04 19:40:36 UTC 2022","898","Suite","Test","unitTests.tests_validations_assertions","unitTests.tests_validations_assertions","assertElementAttribute_type_true_literalComparison_expectedToPass","assertElementAttribute_type_true_literalComparison_expectedToPass",""
"passed","Mon Apr 04 19:47:52 UTC 2022","Mon Apr 04 19:47:56 UTC 2022","3952","Suite","Test","dsl.testDsl","dsl.testDsl","testCheckBox","testCheckBox",""
"passed","Mon Apr 04 19:44:15 UTC 2022","Mon Apr 04 19:44:15 UTC 2022","240","Suite","Test","testPackage01.validationsWizard.Test_ElementValidations","testPackage01.validationsWizard.Test_ElementValidations","matchesReferenceImage","matchesReferenceImage",""
"skipped","Mon Apr 04 19:44:09 UTC 2022","Mon Apr 04 19:44:09 UTC 2022","1","Suite","Test","testPackage01.Test_NewValidationHelper","testPackage01.Test_NewValidationHelper","f6_2","f6_2",""
"passed","Mon Apr 04 19:39:45 UTC 2022","Mon Apr 04 19:39:45 UTC 2022","603","Suite","Test","unitTests.tests_validations_assertions","unitTests.tests_validations_assertions","assertElementAttribute_false_containsComparison_expectedToFail","assertElementAttribute_false_containsComparison_expectedToFail",""
"passed","Mon Apr 04 19:38:53 UTC 2022","Mon Apr 04 19:39:00 UTC 2022","6862","Suite","Test","unitTests.tests_element_elementActions","unitTests.tests_element_elementActions","waitForElementToBePresent_true_expectedToFail","waitForElementToBePresent_true_expectedToFail",""
"passed","Mon Apr 04 19:40:39 UTC 2022","Mon Apr 04 19:40:49 UTC 2022","10554","Suite","Test","unitTests.tests_validations_assertions","unitTests.tests_validations_assertions","assertElementExists_false_expectedToFail","assertElementExists_false_expectedToFail",""
